Date,Open,High,Low,Close,Adj Close,Volume
2004-05-31,5.204270,5.293490,4.830880,5.200970,-0.068391,8562740
2004-06-30,5.174530,5.448790,4.295590,4.308800,-0.056659,15121338
2004-07-31,4.490540,4.890360,3.568640,3.899070,0.444422,7946998
2004-08-31,3.918900,4.589670,3.832990,4.368280,0.497903,11210232
2004-09-30,4.361670,4.493850,4.097330,4.232810,0.482462,7263421
2004-10-31,4.292280,4.887060,4.163420,4.695410,0.535190,16962664
2004-11-30,4.695410,7.137280,4.626020,6.314510,0.719737,101043822
2004-12-31,6.377300,6.476420,5.551220,5.766000,0.657217,39077180
2005-01-31,5.749480,6.311210,5.617310,5.815560,0.662866,20278072
2005-02-28,5.881650,6.331030,5.352960,5.567740,0.634619,18659275
2005-03-31,5.746170,5.845300,5.352960,5.557830,0.633489,5648886
2005-04-30,5.564440,6.905980,5.366180,6.281470,0.715971,28517647
2005-05-31,6.294690,6.529290,5.620610,5.848610,0.666633,12592629
2005-06-30,5.941130,6.608600,5.884950,6.060080,0.690737,24985351
2005-07-31,6.079910,6.476420,5.881650,6.205470,1.814324,16229893
2005-08-31,6.271560,7.593280,5.683390,6.724250,1.966003,52418744
2005-09-30,6.866330,7.259540,5.822170,6.000610,1.754429,13624845
2005-10-31,6.033650,6.621810,5.980780,6.245120,1.825917,9854770
2005-11-30,6.278170,6.476420,5.997300,6.116260,1.788242,8248726
2005-12-31,6.281470,8.118660,6.149300,7.147200,2.089663,81313232
2006-01-31,7.269460,7.930320,7.005110,7.375190,2.156321,39449363
2006-02-28,7.520580,8.042660,7.269460,7.391710,2.161152,23229758
2006-03-31,7.517280,7.695710,6.955550,7.282670,2.129271,12609364
2006-04-30,7.355370,7.960050,5.524790,6.744070,1.971798,13024686
2006-05-31,6.872940,6.998500,5.580960,6.149300,1.797902,8753219
2006-06-30,6.149300,7.864230,6.017130,7.596580,2.221050,12489961
2006-07-31,7.500760,8.789430,7.500760,7.632930,2.231678,17314813
2006-08-31,7.599890,8.425960,7.335540,8.055880,4.762557,12960150
2006-09-30,8.267350,8.492050,7.930320,8.085620,4.780139,8856147
2006-10-31,7.950140,11.532000,7.950140,11.247800,6.649589,35528242
2006-11-30,12.225900,12.417600,9.430470,10.791800,6.380006,24173696
2006-12-31,10.884400,11.710400,10.573700,11.198300,6.620326,20568212
2007-01-31,11.204900,12.159800,10.177200,10.431700,6.167120,8407990
2007-02-28,10.772000,11.565000,8.789430,10.692700,6.321420,14949044
2007-03-31,10.111100,11.631100,10.051700,11.247800,6.649589,5797585
2007-04-30,11.366800,13.613700,11.300700,13.180800,7.792360,11363761
2007-05-31,13.052000,14.274600,12.268900,14.040000,8.300310,5300897
2007-06-30,14.198600,15.728500,13.944100,15.331900,9.064071,6543311
2007-07-31,15.464100,16.389299,11.902100,13.960700,11.310283,7558398
2007-08-31,14.043300,15.695400,13.927600,14.631400,11.853652,7980908
2007-09-30,14.869300,15.986200,13.085000,15.008100,12.158835,10471435
2007-10-31,14.935400,17.763901,14.334000,15.331900,12.421164,6879738
2007-11-30,15.787900,30.634100,15.596300,26.487200,21.458651,25381047
2007-12-31,28.218700,41.539700,25.112700,37.212700,30.147928,16949191
2008-01-31,28.417000,29.077801,22.469200,25.509199,20.666317,7134011
2008-02-29,25.443100,25.773500,15.199800,18.702299,15.151695,9436297
2008-03-31,18.999701,24.980499,18.173599,22.105700,18.162268,5481356
2008-04-30,22.766600,24.451799,19.164900,19.429300,15.963310,4464731
2008-05-31,19.726700,21.411800,15.265900,15.497200,12.732656,5231594
2008-06-30,15.464100,17.777100,11.895500,16.091900,13.221267,6721277
2008-07-31,15.860600,20.486700,15.860600,17.876200,14.687266,4902256
2008-08-31,17.413700,19.759701,14.538900,15.365000,12.624040,3671110
2008-09-30,15.365000,16.521500,8.690300,10.639800,8.837980,8171090
2008-10-31,10.805000,12.556300,7.864230,8.690300,7.218622,5549534
2008-11-30,8.591170,10.408500,7.996400,9.648550,8.014593,5911966
2008-12-31,9.714640,10.838100,8.591170,8.888560,7.383307,6027023
2009-01-31,9.086820,9.549420,7.930320,8.095530,6.724574,3836331
2009-02-28,8.095530,8.657260,7.434670,8.062490,6.697130,3700632
2009-03-31,8.095530,11.862400,8.062490,11.003300,9.139923,13283533
2009-04-30,11.003300,18.438000,9.945940,16.125000,13.394276,21802840
2009-05-31,16.257200,18.867500,14.274600,15.298900,12.708073,21538567
2009-06-30,15.629300,16.191099,11.895500,15.199800,12.625754,13453365
2009-07-31,15.199800,18.471001,14.307600,18.140600,15.068541,22823204
2009-08-31,18.173599,20.618799,16.587601,20.354500,17.769323,40059720
2009-09-30,20.420601,20.883200,17.479700,17.744101,15.490465,26898910
2009-10-31,17.777100,21.477900,16.554501,19.865101,17.342081,23806429
2009-11-30,19.865101,20.573200,18.606300,20.219200,17.651207,14265323
2009-12-31,20.179800,26.591700,18.566999,23.444799,20.467131,66280299
2010-01-31,23.680799,24.310200,21.556601,22.894100,19.986372,21058294
2010-02-28,23.012100,24.034800,21.005899,22.540001,19.677252,18818245
2010-03-31,22.618700,27.614500,22.343300,26.473700,23.111336,66730033
2010-04-30,26.473700,29.896000,22.618700,26.788401,23.386070,36176373
2010-05-31,27.024401,28.873301,26.041000,28.519199,24.897041,51062781
2010-06-30,27.968500,31.980900,27.889799,31.115499,27.163595,35481677
2010-07-31,31.587500,38.825500,31.076099,34.380402,30.758034,47566043
2010-08-31,34.616501,38.471500,34.577099,35.442501,31.708231,26305244
2010-09-30,35.442501,41.224998,35.324501,39.808899,35.614574,48242228
2010-10-31,40.752998,41.067699,35.481899,39.179501,35.051495,43389097
2010-11-30,39.258202,42.405201,33.908401,39.022202,34.910770,51242788
2010-12-31,39.572899,39.966301,31.941500,33.042999,29.561543,19796060
2011-01-31,33.514999,36.976700,27.417801,34.459099,30.828442,22463293
2011-02-28,34.773800,36.504601,33.711700,35.245800,31.532253,11647998
2011-03-31,35.560501,38.943501,33.829700,34.262402,30.652464,21746185
2011-04-30,34.616501,35.403198,32.295601,34.773800,31.109983,11092656
2011-05-31,35.403198,36.504601,33.908401,35.088501,31.391525,8516479
2011-06-30,35.403198,39.730202,35.167198,38.707500,34.629223,14444868
2011-07-31,39.179501,39.258202,31.115499,36.189899,32.376881,8032177
2011-08-31,36.425900,37.763401,33.436298,34.773800,31.841948,4933906
