Date,Open,High,Low,Close,Adj Close,Volume
2004-05-31,0.250000,0.250000,0.211000,0.224000,0.019053,1453200
2004-06-30,0.224000,0.228000,0.205000,0.227000,0.019308,1240700
2004-07-31,0.223000,0.250000,0.207000,0.248000,0.021094,1232200
2004-08-31,0.250000,0.310000,0.243000,0.270000,0.022965,1915000
2004-09-30,0.270000,0.280000,0.260000,0.280000,0.023816,1394600
2004-10-31,0.280000,0.320000,0.250000,0.260000,0.022115,3524800
2004-11-30,0.260000,0.270000,0.223000,0.228000,0.019393,10843800
2004-12-31,0.228000,0.229000,0.197000,0.207000,0.017607,7071400
2005-01-31,0.207000,0.239000,0.202000,0.215000,0.018287,5774900
2005-02-28,0.214000,0.270000,0.211000,0.270000,0.022965,6112000
2005-03-31,0.260000,0.260000,0.229000,0.239000,0.020328,3853200
2005-04-30,0.239000,0.260000,0.239000,0.250000,0.021264,1988400
2005-05-31,0.250000,0.260000,0.239000,0.244000,0.020754,3923200
2005-06-30,0.244000,0.280000,0.239000,0.280000,0.023816,3941100
2005-07-31,0.280000,0.340000,0.280000,0.340000,0.028919,6755200
2005-08-31,0.340000,0.410000,0.340000,0.400000,0.034022,11161200
2005-09-30,0.400000,0.410000,0.360000,0.410000,0.034873,6412700
2005-10-31,0.380000,0.420000,0.370000,0.410000,0.034873,7124000
2005-11-30,0.410000,0.420000,0.390000,0.390000,0.033172,3762200
2005-12-31,0.390000,0.400000,0.330000,0.330000,0.028068,7878000
2006-01-31,0.330000,0.360000,0.320000,0.350000,0.029770,8227200
2006-02-28,0.340000,0.350000,0.310000,0.320000,0.027218,5348800
2006-03-31,0.320000,0.330000,0.280000,0.300000,0.025517,8134000
2006-04-30,0.300000,0.300000,0.231000,0.238000,0.020243,9785000
2006-05-31,0.234000,0.270000,0.226000,0.260000,0.022115,3380000
2006-06-30,0.260000,0.270000,0.247000,0.250000,0.021264,3085700
2006-07-31,0.250000,0.330000,0.250000,0.330000,0.028068,4192000
2006-08-31,0.320000,0.320000,0.280000,0.300000,0.025517,3054600
2006-09-30,0.310000,0.360000,0.310000,0.330000,0.028068,2427700
2006-10-31,0.330000,0.350000,0.300000,0.300000,0.025517,2726600
2006-11-30,0.300000,0.310000,0.290000,0.300000,0.025517,1600900
2006-12-31,0.310000,0.340000,0.300000,0.310000,0.026367,3652900
2007-01-31,0.310000,0.340000,0.280000,0.290000,0.024666,4117600
2007-02-28,0.290000,0.290000,0.260000,0.279000,0.023731,2920800
2007-03-31,0.270000,0.306000,0.263000,0.293000,0.024921,3688500
2007-04-30,0.299000,0.380000,0.272000,0.366000,0.031130,9071500
2007-05-31,0.390000,0.510000,0.380000,0.439000,0.037340,18396400
2007-06-30,0.439000,0.490000,0.405000,0.488000,0.041507,6394200
2007-07-31,0.493000,0.520000,0.385000,0.489000,0.041592,9993800
